echeance,T,strike,call_mid,put_mid,forward_i,residu_vs_retenu,poids,zscore_robuste,retenu,capture_ts
20260619,0.00548,6000.0,290.0,0.55,6289.5,-0.08,0.2398,0.068,True,20260617_131429
20260619,0.00548,6025.0,265.1,0.65,6289.49,-0.09,0.301,0.051,True,20260617_131429
20260619,0.00548,6050.0,240.2,0.7,6289.54,-0.04,0.3865,0.241,True,20260617_131429
20260619,0.00548,6075.0,215.35,0.9,6289.49,-0.1,0.4656,0.017,True,20260617_131429
20260619,0.00548,6100.0,190.6,1.15,6289.48,-0.1,0.5271,0.0,True,20260617_131429
20260619,0.00548,6125.0,165.9,1.45,6289.48,-0.1,0.6103,-0.017,True,20260617_131429
20260619,0.00548,6150.0,141.55,2.05,6289.52,-0.06,0.6967,0.173,True,20260617_131429
20260619,0.00548,6175.0,117.65,3.15,6289.52,-0.06,0.7776,0.156,True,20260617_131429
20260619,0.00548,6200.0,95.15,5.15,6290.01,0.43,0.8367,2.208,True,20260617_131429
20260619,0.00548,6225.0,73.05,8.45,6289.61,0.03,0.9041,0.536,True,20260617_131429
20260619,0.00548,6250.0,53.3,13.8,6289.51,-0.08,0.9433,0.105,True,20260617_131429
20260619,0.00548,6275.0,36.4,21.85,6289.55,-0.03,0.9777,0.295,True,20260617_131429
20260619,0.00548,6300.0,22.9,33.35,6289.55,-0.03,0.9784,0.278,True,20260617_131429
20260619,0.00548,6325.0,13.3,48.65,6289.64,0.06,0.9469,0.674,True,20260617_131429
20260619,0.00548,6350.0,6.95,97.1,6259.84,-29.75,0.8753,-122.643,False,20260617_131429
20260619,0.00548,6375.0,2.0,120.0,6256.98,-32.6,0.8211,-134.453,False,20260617_131429
20260619,0.00548,6400.0,1.1,144.0,6257.08,-32.51,0.7667,-134.056,False,20260617_131429
20260619,0.00548,6425.0,0.7,168.6,6257.07,-32.51,0.7035,-134.073,False,20260617_131429
20260619,0.00548,6450.0,0.5,193.4,6257.07,-32.51,0.6342,-134.09,False,20260617_131429
20260619,0.00548,6475.0,0.3,218.3,6256.96,-32.62,0.5618,-134.521,False,20260617_131429
20260619,0.00548,6500.0,0.3,243.2,6257.06,-32.52,0.4891,-134.124,False,20260617_131429
20260619,0.00548,6525.0,0.2,268.2,6256.96,-32.63,0.4183,-134.555,False,20260617_131429
20260619,0.00548,6550.0,0.2,293.1,6257.05,-32.53,0.3515,-134.158,False,20260617_131429
20260619,0.00548,6575.0,0.2,318.1,6257.05,-32.53,0.2903,-134.175,False,20260617_131429
20260619,0.00548,6600.0,0.1,343.1,6256.94,-32.64,0.2355,-134.606,False,20260617_131429
20260626,0.02466,6000.0,297.5,3.25,6294.47,-0.03,0.2906,0.181,True,20260617_131429
20260626,0.02466,6025.0,273.1,3.9,6294.4,-0.1,0.3511,-0.266,True,20260617_131429
20260626,0.02466,6050.0,248.95,4.75,6294.38,-0.11,0.4183,-0.387,True,20260617_131429
20260626,0.02466,6075.0,225.1,5.85,6294.41,-0.08,0.4947,-0.181,True,20260617_131429
20260626,0.02466,6100.0,201.45,7.45,6294.14,-0.35,0.5844,-1.937,True,20260617_131429
20260626,0.02466,6125.0,178.55,9.4,6294.28,-0.22,0.6539,-1.077,True,20260617_131429
20260626,0.02466,6150.0,156.7,12.05,6294.76,0.26,0.7306,2.071,True,20260617_131429
20260626,0.02466,6175.0,135.05,15.6,6294.54,0.04,0.8034,0.643,True,20260617_131429
20260626,0.02466,6200.0,114.65,20.15,6294.57,0.08,0.8662,0.849,True,20260617_131429
20260626,0.02466,6225.0,95.45,25.9,6294.6,0.11,0.9158,1.055,True,20260617_131429
20260626,0.02466,6250.0,77.75,33.2,6294.58,0.09,0.9492,0.934,True,20260617_131429
20260626,0.02466,6275.0,61.75,42.25,6294.51,0.02,0.9702,0.486,True,20260617_131429
20260626,0.02466,6300.0,47.8,53.25,6294.55,0.05,0.9707,0.692,True,20260617_131429
20260626,0.02466,6325.0,36.0,66.3,6294.68,0.18,0.9554,1.552,True,20260617_131429
20260626,0.02466,6350.0,26.2,81.6,6294.56,0.06,0.9171,0.778,True,20260617_131429
20260626,0.02466,6375.0,18.45,98.85,6294.54,0.05,0.8673,0.657,True,20260617_131429
20260626,0.02466,6400.0,12.35,117.6,6294.67,0.18,0.8045,1.517,True,20260617_131429
20260626,0.02466,6425.0,8.05,138.6,6294.35,-0.14,0.732,-0.566,True,20260617_131429
20260626,0.02466,6450.0,5.15,160.65,6294.38,-0.11,0.6455,-0.36,True,20260617_131429
20260626,0.02466,6475.0,3.15,183.65,6294.37,-0.13,0.5667,-0.481,True,20260617_131429
20260626,0.02466,6500.0,1.95,207.5,6294.3,-0.2,0.4726,-0.928,True,20260617_131429
20260626,0.02466,6525.0,1.2,231.7,6294.33,-0.17,0.3896,-0.722,True,20260617_131429
20260626,0.02466,6550.0,0.8,256.25,6294.36,-0.13,0.3061,-0.516,True,20260617_131429
20260626,0.02466,6575.0,0.55,281.0,6294.34,-0.15,0.2486,-0.637,True,20260617_131429
20260630,0.03562,6000.0,298.95,5.5,6293.76,0.04,0.2883,0.421,True,20260617_131429
20260630,0.03562,6025.0,274.95,6.5,6293.74,0.02,0.3528,0.164,True,20260617_131429
20260630,0.03562,6050.0,251.25,7.7,6293.81,0.09,0.4236,0.871,True,20260617_131429
20260630,0.03562,6075.0,227.85,9.2,6293.88,0.16,0.4943,1.578,True,20260617_131429
20260630,0.03562,6100.0,204.75,11.35,6293.61,-0.11,0.5783,-1.091,True,20260617_131429
20260630,0.03562,6125.0,182.65,13.9,6293.93,0.21,0.6588,2.028,True,20260617_131429
20260630,0.03562,6150.0,160.65,17.05,6293.75,0.03,0.7388,0.323,True,20260617_131429
