echeance,strike,type,bid,ask,close,mid_option_price,reference_type,spread_pct,quote_age_seconds,flag,reference_spot,reference_type_spot,capture_ts,snapshot_version
20260619,6000.0,C,287.5,292.5,257.8,290.0,mid,0.01724,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6000.0,P,0.4,0.7,0.8,0.55,mid,0.54545,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6025.0,C,262.6,267.6,232.9,265.1,mid,0.01886,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6025.0,P,0.5,0.8,1.0,0.65,mid,0.46154,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6050.0,C,237.7,242.7,208.1,240.2,mid,0.02082,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6050.0,P,0.6,0.8,1.2,0.7,mid,0.28571,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6075.0,C,212.8,217.9,183.5,215.35000000000002,mid,0.02368,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6075.0,P,0.8,1.0,1.5,0.9,mid,0.22222,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6100.0,C,188.1,193.1,159.0,190.6,mid,0.02623,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6100.0,P,1.0,1.3,2.0,1.15,mid,0.26087,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6125.0,C,163.4,168.4,134.9,165.9,mid,0.03014,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6125.0,P,1.3,1.6,3.0,1.4500000000000002,mid,0.2069,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6150.0,C,139.1,144.0,111.8,141.55,mid,0.03462,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6150.0,P,1.9,2.2,4.8,2.05,mid,0.14634,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6175.0,C,115.2,120.1,89.8,117.65,mid,0.04165,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6175.0,P,3.0,3.3,7.8,3.15,mid,0.09524,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6200.0,C,93.4,96.9,69.3,95.15,mid,0.03678,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6200.0,P,4.9,5.4,12.3,5.15,mid,0.09709,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6225.0,C,72.1,74.0,50.8,73.05,mid,0.02601,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6225.0,P,8.2,8.7,18.9,8.45,mid,0.05917,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6250.0,C,52.5,54.1,35.1,53.3,mid,0.03002,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6250.0,P,13.5,14.1,28.1,13.8,mid,0.04348,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6275.0,C,36.1,36.7,22.8,36.400000000000006,mid,0.01648,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6275.0,P,21.6,22.1,40.8,21.85,mid,0.02288,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6300.0,C,22.6,23.2,13.9,22.9,mid,0.0262,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6300.0,P,33.1,33.6,56.9,33.35,mid,0.01499,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6325.0,C,13.0,13.6,7.8,13.3,mid,0.04511,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6325.0,P,47.9,49.4,75.8,48.65,mid,0.03083,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6350.0,C,6.7,7.2,4.1,6.95,mid,0.07194,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6350.0,P,,,97.1,97.1,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6375.0,C,,,2.0,2.0,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
20260619,6375.0,P,,,120.0,120.0,close,,,stale_close_only,6289.88,indice_last_ou_close,20260617_131429,snap1
