echeance,strike,type,spot,capture_ts,T_annees,prix_utilise,source_prix,iv_calculee,statut,iv_ibkr,ecart_iv,delta,gamma,vega,theta_jour,gardee,raison_rejet
20260619,6000.0,C,6289.88,20260617_131429,0.0055,290.0,mid,0.2554,ok,0.2925941230072776,-0.0372,0.9937,0.000146,0.081,-0.458,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6000.0,P,6289.88,20260617_131429,0.0055,0.55,mid,0.2836,ok,0.2925941230072776,-0.009,-0.012,0.000236,0.145,-1.029,True,ok
20260619,6025.0,C,6289.88,20260617_131429,0.0055,265.1,mid,0.2452,ok,0.2766333636519365,-0.0315,0.9911,0.000206,0.11,-0.616,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6025.0,P,6289.88,20260617_131429,0.0055,0.65,mid,0.2678,ok,0.2766333636519365,-0.0088,-0.0146,0.000297,0.173,-1.157,True,ok
20260619,6050.0,C,6289.88,20260617_131429,0.0055,240.2,mid,0.2318,ok,0.2594930989825637,-0.0277,0.9883,0.000278,0.14,-0.757,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6050.0,P,6289.88,20260617_131429,0.0055,0.7,mid,0.2481,ok,0.2594930989825637,-0.0114,-0.0168,0.000361,0.194,-1.204,True,ok
20260619,6075.0,C,6289.88,20260617_131429,0.0055,215.35,mid,0.219,ok,0.2412780574037221,-0.0223,0.9841,0.000386,0.183,-0.953,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6075.0,P,6289.88,20260617_131429,0.0055,0.9,mid,0.2342,ok,0.2412780574037221,-0.007,-0.0221,0.000482,0.245,-1.435,True,ok
20260619,6100.0,C,6289.88,20260617_131429,0.0055,190.6,mid,0.2076,ok,0.2227020081436147,-0.0151,0.9772,0.000556,0.25,-1.249,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6100.0,P,6289.88,20260617_131429,0.0055,1.15,mid,0.2194,ok,0.2227020081436147,-0.0033,-0.029,0.000648,0.308,-1.692,True,ok
20260619,6125.0,C,6289.88,20260617_131429,0.0055,165.9,mid,0.1938,ok,0.2055609708148012,-0.0118,0.9683,0.000786,0.33,-1.553,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6125.0,P,6289.88,20260617_131429,0.0055,1.4500000000000002,mid,0.2031,ok,0.2055609708148012,-0.0025,-0.0381,0.000875,0.385,-1.958,True,ok
20260619,6150.0,C,6289.88,20260617_131429,0.0055,141.55,mid,0.1843,ok,0.1922836678411144,-0.008,0.9508,0.001183,0.473,-2.134,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6150.0,P,6289.88,20260617_131429,0.0055,2.05,mid,0.1902,ok,0.1922836678411144,-0.0021,-0.0544,0.001245,0.513,-2.442,True,ok
20260619,6175.0,C,6289.88,20260617_131429,0.0055,117.65,mid,0.1756,ok,0.1834215181104555,-0.0078,0.9226,0.00177,0.674,-2.917,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6175.0,P,6289.88,20260617_131429,0.0055,3.15,mid,0.1798,ok,0.1834215181104555,-0.0036,-0.0822,0.001812,0.706,-3.177,True,ok
20260619,6200.0,C,6289.88,20260617_131429,0.0055,95.15,mid,0.1741,ok,0.1759738332510885,-0.0018,0.8689,0.002621,0.99,-4.27,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6200.0,P,6289.88,20260617_131429,0.0055,5.15,mid,0.1721,ok,0.1759738332510885,-0.0039,-0.1281,0.002613,0.975,-4.197,True,ok
20260619,6225.0,C,6289.88,20260617_131429,0.0055,73.05,mid,0.1636,ok,0.1662759507530309,-0.0027,0.8054,0.003614,1.281,-5.206,False,rejet_ITM (on garde l'OTM a ce strike)
20260619,6225.0,P,6289.88,20260617_131429,0.0055,8.45,mid,0.1651,ok,0.1662759507530309,-0.0011,-0.1967,0.003604,1.29,-5.333,True,ok
20260619,6250.0,C,6289.88,20260617_131429,0.0055,53.3,mid,0.1576,ok,0.159728713592489,-0.0021,0.7087,0.004672,1.596,-6.262,False,rejet_ITM (on garde l'OTM a ce strike)
