echeance,T,log_moneyness,strike,variance_totale,vol_implicite
20260619,0.00548,-0.0487,5990.6,0.00046182,0.29032
20260619,0.00548,-0.04674,6002.37,0.00043579,0.28201
20260619,0.00548,-0.04478,6014.17,0.00041082,0.27381
20260619,0.00548,-0.04281,6025.99,0.00038694,0.26574
20260619,0.00548,-0.04085,6037.84,0.00036415,0.25779
20260619,0.00548,-0.03888,6049.71,0.00034245,0.25
20260619,0.00548,-0.03692,6061.6,0.00032186,0.24236
20260619,0.00548,-0.03496,6073.51,0.00030237,0.23491
20260619,0.00548,-0.03299,6085.45,0.00028397,0.22765
20260619,0.00548,-0.03103,6097.41,0.00026666,0.2206
20260619,0.00548,-0.02907,6109.4,0.00025041,0.21378
20260619,0.00548,-0.0271,6121.41,0.00023522,0.20719
20260619,0.00548,-0.02514,6133.44,0.00022107,0.20086
20260619,0.00548,-0.02318,6145.5,0.00020794,0.1948
20260619,0.00548,-0.02121,6157.58,0.00019579,0.18903
20260619,0.00548,-0.01925,6169.68,0.00018462,0.18356
20260619,0.00548,-0.01728,6181.81,0.00017438,0.1784
20260619,0.00548,-0.01532,6193.96,0.00016506,0.17356
20260619,0.00548,-0.01336,6206.13,0.00015662,0.16906
20260619,0.00548,-0.01139,6218.33,0.00014902,0.16491
20260619,0.00548,-0.00943,6230.55,0.00014225,0.16112
20260619,0.00548,-0.00747,6242.8,0.00013626,0.1577
20260619,0.00548,-0.0055,6255.07,0.00013103,0.15464
20260619,0.00548,-0.00354,6267.37,0.00012653,0.15196
20260619,0.00548,-0.00157,6279.69,0.00012272,0.14965
20260619,0.00548,0.00039,6292.03,0.00011957,0.14772
20260619,0.00548,0.00235,6304.4,0.00011706,0.14616
20260619,0.00548,0.00432,6316.79,0.00011515,0.14497
20260619,0.00548,0.00628,6329.2,0.00011383,0.14413
20260619,0.00548,0.00824,6341.65,0.00011305,0.14364
20260619,0.00548,0.01021,6354.11,0.0001128,0.14348
20260619,0.00548,0.01217,6366.6,0.00011305,0.14363
20260619,0.00548,0.01413,6379.11,0.00011377,0.14409
20260619,0.00548,0.0161,6391.65,0.00011495,0.14484
20260619,0.00548,0.01806,6404.22,0.00011655,0.14585
20260619,0.00548,0.02003,6416.8,0.00011857,0.1471
20260619,0.00548,0.02199,6429.42,0.00012098,0.14859
20260619,0.00548,0.02395,6442.06,0.00012375,0.15028
20260619,0.00548,0.02592,6454.72,0.00012689,0.15217
20260619,0.00548,0.02788,6467.41,0.00013035,0.15424
20260619,0.00548,0.02984,6480.12,0.00013414,0.15646
20260619,0.00548,0.03181,6492.86,0.00013823,0.15883
20260619,0.00548,0.03377,6505.62,0.00014261,0.16133
20260619,0.00548,0.03574,6518.41,0.00014726,0.16394
20260619,0.00548,0.0377,6531.22,0.00015218,0.16665
20260619,0.00548,0.03966,6544.06,0.00015735,0.16946
20260619,0.00548,0.04163,6556.92,0.00016276,0.17235
20260619,0.00548,0.04359,6569.81,0.00016839,0.1753
20260619,0.00548,0.04555,6582.72,0.00017424,0.17832
20260619,0.00548,0.04752,6595.66,0.0001803,0.1814
20260626,0.02466,-0.0487,5995.28,0.00079677,0.17976
20260626,0.02466,-0.04674,6007.06,0.00076787,0.17647
20260626,0.02466,-0.04478,6018.87,0.00074016,0.17326
20260626,0.02466,-0.04281,6030.7,0.00071368,0.17013
20260626,0.02466,-0.04085,6042.56,0.00068844,0.16709
20260626,0.02466,-0.03888,6054.43,0.00066444,0.16415
20260626,0.02466,-0.03692,6066.33,0.00064168,0.16132
20260626,0.02466,-0.03496,6078.26,0.00062015,0.15859
20260626,0.02466,-0.03299,6090.2,0.00059984,0.15597
20260626,0.02466,-0.03103,6102.18,0.00058072,0.15346
20260626,0.02466,-0.02907,6114.17,0.00056277,0.15107
20260626,0.02466,-0.0271,6126.19,0.00054595,0.1488
20260626,0.02466,-0.02514,6138.23,0.00053024,0.14664
20260626,0.02466,-0.02318,6150.3,0.00051557,0.1446
